"","Age","Year","Value"
"1",10,1983,1466523
"2",11,1983,1427194
"3",12,1983,1427215
"4",13,1983,1406109
"5",14,1983,1413087
"6",15,1983,1423523
"7",16,1983,1379382
"8",17,1983,1377741
"9",18,1983,1312648
"10",19,1983,1307047
"11",20,1983,1300464
"12",21,1983,1182409
"13",22,1983,1151198
"14",23,1983,1156981
"15",24,1983,1104561
"16",25,1983,1080868
"17",26,1983,1022337
"18",27,1983,1062366
"19",28,1983,1015445
"20",29,1983,946635
"21",30,1983,955575
"22",31,1983,925074
"23",32,1983,862938
"24",33,1983,867446
"25",34,1983,769118
"26",35,1983,814752
"27",36,1983,720374
"28",37,1983,691247
"29",38,1983,723595
"30",39,1983,678404
"31",40,1983,675656
"32",41,1983,634248
"33",42,1983,607569
"34",43,1983,643153
"35",44,1983,565351
"36",45,1983,550406
"37",46,1983,539812
"38",47,1983,534477
"39",48,1983,518590
"40",49,1983,462013
"41",50,1983,520537
"42",51,1983,462203
"43",52,1983,427033
"44",53,1983,493793
"45",54,1983,433677
"46",55,1983,409684
"47",56,1983,426477
"48",57,1983,362869
"49",58,1983,366858
"50",59,1983,349716
"51",60,1983,333641
"52",61,1983,277290
"53",62,1983,253904
"54",63,1983,287389
"55",64,1983,244259
"56",65,1983,275633
"57",66,1983,229624
"58",67,1983,206837
"59",68,1983,218711
"60",69,1983,191553
"61",70,1983,210071
"62",71,1983,169636
"63",72,1983,159315
"64",73,1983,145402
"65",74,1983,123303
"66",75,1983,118654
"67",76,1983,103276
"68",77,1983,104787
"69",78,1983,91232
"70",79,1983,76106
"71",80,1983,89713
"72",81,1983,66847
"73",82,1983,58833
"74",83,1983,58689
"75",84,1983,28206
"76",85,1983,26753
"77",86,1983,22615
"78",87,1983,21164
"79",88,1983,17199
"80",89,1983,12995
"81",90,1983,13895
"82",91,1983,6479
"83",92,1983,8196
"84",93,1983,8820
"85",94,1983,5386
"86",95,1983,5582
"87",96,1983,4292
"88",97,1983,1330
"89",98,1983,7665
"90",99,1983,1073
"91",100,1983,3257
