"","Age","Year","Value"
"1",10,1990,66755
"2",11,1990,90721
"3",12,1990,155495
"4",13,1990,230112
"5",14,1990,333095
"6",15,1990,468819
"7",16,1990,559724
"8",17,1990,574691
"9",18,1990,666787
"10",19,1990,674190
"11",20,1990,662972
"12",21,1990,669391
"13",22,1990,659792
"14",23,1990,650269
"15",24,1990,654611
"16",25,1990,645639
"17",26,1990,656869
"18",27,1990,623189
"19",28,1990,616291
"20",29,1990,567731
"21",30,1990,599043
"22",31,1990,587438
"23",32,1990,584802
"24",33,1990,554614
"25",34,1990,553974
"26",35,1990,568789
"27",36,1990,534611
"28",37,1990,498091
"29",38,1990,492819
"30",39,1990,496580
"31",40,1990,486736
"32",41,1990,406598
"33",42,1990,429318
"34",43,1990,373259
"35",44,1990,331612
"36",45,1990,338884
"37",46,1990,311806
"38",47,1990,251261
"39",48,1990,275259
"40",49,1990,230004
"41",50,1990,251628
"42",51,1990,196368
"43",52,1990,196397
"44",53,1990,182195
"45",54,1990,182779
"46",55,1990,170685
"47",56,1990,127706
"48",57,1990,127590
"49",58,1990,130886
"50",59,1990,110835
"51",60,1990,117112
"52",61,1990,61384
"53",62,1990,69002
"54",63,1990,62479
"55",64,1990,56764
"56",65,1990,50496
"57",66,1990,35930
"58",67,1990,32694
"59",68,1990,30132
"60",69,1990,21883
"61",70,1990,20143
"62",71,1990,14571
"63",72,1990,16144
"64",73,1990,10191
"65",74,1990,12606
"66",75,1990,8185
"67",76,1990,7079
"68",77,1990,7431
"69",78,1990,7347
"70",79,1990,5847
"71",80,1990,1557
"72",81,1990,562
"73",82,1990,1336
"74",83,1990,1850
"75",84,1990,666
"76",85,1990,583
"77",86,1990,1558
"78",87,1990,234
"79",88,1990,NA
"80",89,1990,NA
"81",90,1990,NA
"82",91,1990,NA
"83",92,1990,NA
"84",93,1990,NA
"85",94,1990,NA
"86",95,1990,NA
"87",96,1990,NA
"88",97,1990,NA
"89",98,1990,210
"90",99,1990,NA
"91",100,1990,NA
