"","Age","Year","Value"
"1",10,1991,1763904
"2",11,1991,1643853
"3",12,1991,1672772
"4",13,1991,1603612
"5",14,1991,1533589
"6",15,1991,1556951
"7",16,1991,1515780
"8",17,1991,1454958
"9",18,1991,1447973
"10",19,1991,1265298
"11",20,1991,1278601
"12",21,1991,1259187
"13",22,1991,1279696
"14",23,1991,1172205
"15",24,1991,1201506
"16",25,1991,1166224
"17",26,1991,1125508
"18",27,1991,1138687
"19",28,1991,1081232
"20",29,1991,1010454
"21",30,1991,1087228
"22",31,1991,953881
"23",32,1991,1009413
"24",33,1991,1010943
"25",34,1991,941682
"26",35,1991,1001067
"27",36,1991,927354
"28",37,1991,876550
"29",38,1991,888341
"30",39,1991,843277
"31",40,1991,853767
"32",41,1991,721461
"33",42,1991,768906
"34",43,1991,671622
"35",44,1991,653387
"36",45,1991,689590
"37",46,1991,600764
"38",47,1991,602911
"39",48,1991,599896
"40",49,1991,534550
"41",50,1991,647720
"42",51,1991,538515
"43",52,1991,511058
"44",53,1991,488048
"45",54,1991,449189
"46",55,1991,463559
"47",56,1991,405035
"48",57,1991,408000
"49",58,1991,423471
"50",59,1991,371885
"51",60,1991,401860
"52",61,1991,340936
"53",62,1991,351218
"54",63,1991,336668
"55",64,1991,321356
"56",65,1991,322631
"57",66,1991,266800
"58",67,1991,254371
"59",68,1991,233967
"60",69,1991,202982
"61",70,1991,243115
"62",71,1991,165527
"63",72,1991,172725
"64",73,1991,160159
"65",74,1991,128583
"66",75,1991,160615
"67",76,1991,139646
"68",77,1991,132686
"69",78,1991,109166
"70",79,1991,89198
"71",80,1991,81748
"72",81,1991,56842
"73",82,1991,57337
"74",83,1991,43636
"75",84,1991,52568
"76",85,1991,32887
"77",86,1991,35056
"78",87,1991,22023
"79",88,1991,19994
"80",89,1991,19041
"81",90,1991,12039
"82",91,1991,5408
"83",92,1991,3413
"84",93,1991,2259
"85",94,1991,634
"86",95,1991,2190
"87",96,1991,985
"88",97,1991,1514
"89",98,1991,1551
"90",99,1991,210
"91",100,1991,3119
