"","Age","Year","Value"
"1",10,1997,190210
"2",11,1997,252491
"3",12,1997,340086
"4",13,1997,428378
"5",14,1997,611118
"6",15,1997,846407
"7",16,1997,957953
"8",17,1997,1116633
"9",18,1997,1181429
"10",19,1997,1213088
"11",20,1997,1227225
"12",21,1997,1197624
"13",22,1997,1181018
"14",23,1997,1195907
"15",24,1997,1149259
"16",25,1997,1157848
"17",26,1997,1099712
"18",27,1997,1165604
"19",28,1997,1101271
"20",29,1997,1085038
"21",30,1997,1131205
"22",31,1997,1114684
"23",32,1997,1168951
"24",33,1997,1148852
"25",34,1997,1099842
"26",35,1997,1070371
"27",36,1997,1019538
"28",37,1997,1034215
"29",38,1997,989826
"30",39,1997,948252
"31",40,1997,982028
"32",41,1997,831717
"33",42,1997,931463
"34",43,1997,844875
"35",44,1997,797881
"36",45,1997,761510
"37",46,1997,693834
"38",47,1997,713167
"39",48,1997,644801
"40",49,1997,638055
"41",50,1997,598786
"42",51,1997,509238
"43",52,1997,526292
"44",53,1997,471463
"45",54,1997,430537
"46",55,1997,422061
"47",56,1997,371426
"48",57,1997,392721
"49",58,1997,344620
"50",59,1997,299666
"51",60,1997,301535
"52",61,1997,279386
"53",62,1997,248544
"54",63,1997,220072
"55",64,1997,203664
"56",65,1997,231908
"57",66,1997,164930
"58",67,1997,166321
"59",68,1997,119805
"60",69,1997,106752
"61",70,1997,88352
"62",71,1997,80457
"63",72,1997,82118
"64",73,1997,64537
"65",74,1997,52225
"66",75,1997,45906
"67",76,1997,36629
"68",77,1997,39842
"69",78,1997,27484
"70",79,1997,19426
"71",80,1997,19202
"72",81,1997,14426
"73",82,1997,12745
"74",83,1997,9839
"75",84,1997,4168
"76",85,1997,5911
"77",86,1997,5390
"78",87,1997,3239
"79",88,1997,2827
"80",89,1997,904
"81",90,1997,2483
"82",91,1997,207
"83",92,1997,208
"84",93,1997,208
"85",94,1997,NA
"86",95,1997,791
"87",96,1997,534
"88",97,1997,1150
"89",98,1997,819
"90",99,1997,NA
"91",100,1997,NA
